,Logística,Random Forest,XGBoost,LightGBM
Fold 1,0.7313797140617263,0.7702923208243935,0.7613970436540684,0.77632060777356
Fold 2,0.7511527273477472,0.7876873504291138,0.7771961132200034,0.7952277861445783
Fold 3,0.7163001320349893,0.7600963571752765,0.7512752207459978,0.7583637202921274
Fold 4,0.7481661448877702,0.7698371611445782,0.7635958001526655,0.776913411350883
Fold 5,0.7228203266834461,0.7579121064738406,0.7487006029254002,0.7664801973304175
Fold 6,0.7539813577941905,0.7725339500123782,0.7557001335822743,0.7805611358103647
Fold 7,0.7390493671547813,0.780477478506626,0.7640611295372302,0.7870444053333127
Fold 8,0.7379851055000191,0.7783418558167483,0.7706370919389118,0.7818786380290572
Fold 9,0.7392155571948669,0.7694511727208246,0.7529683477353944,0.7778687789259412
Fold 10,0.7425764683938814,0.762694821518351,0.7465585753737985,0.7696328523180445
Média,0.7382626901053417,0.770932457462213,0.7592090058865744,0.7770291533308287
Desvio,0.011400510724179656,0.008876433608669361,0.009414747095847864,0.009915101850622754
